text,label
มึงโง่จน objective หายหมด,Toxic
ดีมาก ช่วยอีกทีมเต็มที่,Toxic
ไม่พร้อมก็อย่ากดมา ไม่ดูแมพเลย,Toxic
ถ้าจะกดสกิลมั่ว ควรหยุดก่อน,Toxic
เมื่อกี้ยังไม่ควรไล่ ค่อยๆเล่น,Normal
เล่นอ่อนตั้งแต่ต้นเกม,Toxic
รอบนี้ควรดูแมพก่อน เอาใหม่รอบหน้า,Normal
มึงตัวถ่วงตั้งแต่ต้นเกม,Toxic
เรา คุมเลน ยังมีโอกาส,Normal
ถ้ายังเล่นแบบนี้ เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
เก็บบัฟก่อน เดี๋ยวช่วย,Normal
เรา รวมกลาง รอบหน้าเอาใหม่,Normal
มึงกากกว่าบอทอีก,Toxic
เปิดวิชั่นก่อน เดี๋ยวช่วย,Normal
รอเกิดก่อน เดี๋ยวช่วย,Normal
เทพจริง ทำทีมพังได้ต่อเนื่อง,Toxic
เมจ เล่นแล้วทีมต้องแบกหนักขึ้น,Toxic
ดันล่างก่อน ไม่เป็นไร,Normal
เรา ปัก ward ยังมีโอกาส,Normal
เพื่อน เก็บ objective ใจเย็นก่อน,Normal
เมื่อกี้เลนนี้กดดันยาก ค่อยๆเล่น,Normal
คนเล่นตำแหน่งนี้ ทำให้คนอื่นเหนื่อยเปล่า,Toxic
นาย ฟาร์มก่อน เล่นต่อได้,Normal
เพื่อน กันบ้าน ยังมีโอกาส,Normal
ดีมาก เสีย objective ได้ครบทุกตัว,Toxic
ถ้าแค่เดินไปตาย ก็ไม่แปลกที่แพ้,Toxic
เก่งมาก ส่งแต้มสวยมาก,Toxic
คนเล่นตำแหน่งนี้ ตัดสินใจแย่มาก,Toxic
ดีมาก ทำเกมง่ายขึ้นสำหรับอีกฝั่ง,Toxic
เก็บบัฟก่อน ใจเย็นก่อน,Normal
ตัวซัพ ทำให้คนอื่นเหนื่อยเปล่า,Toxic
เรา เก็บ objective ตอนนี้ยังไหว,Normal
รอบนี้เลนนี้กดดันยาก ค่อยๆเล่น,Normal
เมื่อกี้ไฟต์นี้เสียเปรียบ เอาใหม่รอบหน้า,Normal
รอบนี้เลนนี้กดดันยาก เดี๋ยวช่วยกัน,Normal
มึงเล่นโอเคนะ ไม่ต้องรีบ,Normal
มึงกากไม่มีพัฒนา,Toxic
ช่วยคิดก่อนเล่นหน่อย แจกทุกไฟต์,Toxic
มึงไปก่อนเลย เดี๋ยวกูตาม,Normal
คนเลนบน อ่านเกมไม่ออกเลย,Toxic
ไม่พร้อมก็อย่ากดมา กดสกิลทิ้ง,Toxic
เมื่อกี้ใช้สกิลไวไปหน่อย ไม่ต้องซีเรียส,Normal
แก รวมกลาง ค่อยๆเล่น,Normal
ทีมเรา กันบ้าน เดี๋ยวตามไป,Normal
มึงมั่วทั้งเกม,Toxic
รวมกลางก่อน ยังมีโอกาส,Normal
มึงเล่นไม่เป็นทุกไฟต์,Toxic
ไม่ธรรมดา ช่วยอีกทีมเต็มที่,Toxic
เมื่อกี้เข้าเร็วไปหน่อย ยังมีเวลา,Normal
รอบนี้ใช้สกิลไวไปหน่อย รอบหน้าแก้ได้,Normal
เมื่อกี้ของยังไม่พร้อม ยังกลับมาได้,Normal
เอามังกรก่อน รอบหน้าเอาใหม่,Normal
คนเลนล่าง เล่นแล้วทีมต้องแบกหนักขึ้น,Toxic
มึงอ่อนกว่าบอทอีก,Toxic
ถ้าจะเล่นคนเดียว ควรหยุดก่อน,Toxic
ทีมเรา รอทีม แผนนี้โอเค,Normal
ถ้าจะเล่นคนเดียว ไปฝึกก่อนดีกว่า,Toxic
เมื่อกี้ใช้สกิลไวไปหน่อย เดี๋ยวช่วยกัน,Normal
ขอบคุณมาก ส่งแต้มสวยมาก,Toxic
คนเล่นตำแหน่งนี้ ทำจังหวะทีมพังซ้ำๆ,Toxic
เล่นไร้ประโยชน์ตั้งแต่ต้นเกม,Toxic
นาย เปิดไฟต์ เล่นต่อได้,Normal
ถ้าไม่รู้ว่าต้องทำอะไร อย่าฝืนเลย,Toxic
ขอบคุณมาก ยืนดูจนทีมตายหมด,Toxic
ช่วยได้เยอะ ช่วยอีกทีมเต็มที่,Toxic
แก คุมเลน ค่อยๆเล่น,Normal
รอบนี้ของยังไม่พร้อม รอบหน้าแก้ได้,Normal
มึงแจกแบบนี้,Toxic
รอบนี้ไฟต์นี้เสียเปรียบ ไม่ต้องซีเรียส,Normal
รอบนี้จังหวะนี้ยากจริง รอบหน้าแก้ได้,Normal
เกมนี้ยาก แต่ยังแก้ได้,Normal
เมื่อกี้จังหวะนี้ยากจริง ยังมีเวลา,Normal
รอบนี้ยังไม่ควรไล่ เดี๋ยวช่วยกัน,Normal
เมื่อกี้ยังไม่ควรไล่ เอาใหม่รอบหน้า,Normal
เก่งมาก แบกฝั่งตรงข้ามจริงๆ,Toxic
แก ฟาร์มก่อน เล่นต่อได้,Normal
รอบนี้ไฟต์นี้เสียเปรียบ ค่อยๆเล่น,Normal
แก ฟาร์มก่อน ใจเย็นก่อน,Normal
เมื่อกี้เลนนี้กดดันยาก ทีมยังโอเค,Normal
รอบนี้จังหวะนี้ยากจริง ยังกลับมาได้,Normal
คนเปิดไฟต์ เล่นแล้วทีมต้องแบกหนักขึ้น,Toxic
มึงเล่นไม่เป็นไม่ควรมาแรงค์,Toxic
มึง คุมเลน แผนนี้โอเค,Normal
ฉลาดมาก แจกให้เขาทั้งเกม,Toxic
ขอบคุณมาก,Normal
อยู่เฉยๆยังดีกว่า เข้าไฟต์มั่ว,Toxic
ดีมาก ส่งแต้มสวยมาก,Toxic
นาย คุมเลน เดี๋ยวตามไป,Normal
รอบนี้ยืนลึกไปนิด เดี๋ยวช่วยกัน,Normal
เรา รวมกลาง เดี๋ยวช่วย,Normal
แก กันบ้าน ตอนนี้ยังไหว,Normal
เมื่อกี้ไฟต์นี้เสียเปรียบ เดี๋ยวช่วยกัน,Normal
มึงตัวถ่วงกว่าบอทอีก,Toxic
ทีมเรา ถอยก่อน เล่นต่อได้,Normal
เมื่อกี้ยืนลึกไปนิด เดี๋ยวช่วยกัน,Normal
ถ้าจะยืนดูเฉยๆ ไปฝึกก่อนดีกว่า,Toxic
ถ้าจะยืนดูเฉยๆ ทีมอื่นคงลำบากเหมือนกัน,Toxic
เมื่อกี้เลนนี้กดดันยาก รอบหน้าแก้ได้,Normal
รอบนี้ใช้สกิลไวไปหน่อย เดี๋ยวช่วยกัน,Normal
ถ้าไม่พร้อมก็ไม่ควรกดมา,Toxic
เล่นโง่ทุกไฟต์,Toxic
ขอบคุณสำหรับบริการส่งแต้ม,Toxic
เล่นกากไม่ควรมาแรงค์,Toxic
มึง เก็บ objective แผนนี้โอเค,Normal
เรา กันบ้าน ตอนนี้ยังไหว,Normal
ถ้าไม่ดูแมพเลย ไปฝึกก่อนดีกว่า,Toxic
ถอยเข้าป้อมก่อน เดี๋ยวช่วย,Normal
มึงกากจน objective หายหมด,Toxic
เล่นตัวถ่วงทำทีมเหนื่อย,Toxic
เอามังกรก่อน ตอนนี้ยังไหว,Normal
เห็นแล้วเหนื่อย กดสกิลทิ้ง,Toxic
คนเลนล่าง ทำให้คนอื่นเหนื่อยเปล่า,Toxic
เล่นห่วยจนทีมเล่นไม่ได้,Toxic
มืออาชีพมาก ช่วยอีกทีมเต็มที่,Toxic
ถ้าแค่เดินไปตาย อย่าฝืนเลย,Toxic
มึงไร้ประโยชน์กว่าบอทอีก,Toxic
เพื่อน ฟาร์มก่อน เล่นต่อได้,Normal
เล่นแบบนี้ทีมลำบาก ยืนผิดตำแหน่ง,Toxic
เมื่อกี้ของยังไม่พร้อม ทีมยังโอเค,Normal
รอบนี้ใช้สกิลไวไปหน่อย ทีมยังโอเค,Normal
มึง รอทีม ไม่เป็นไร,Normal
ดันล่างก่อน เล่นต่อได้,Normal
ถ้าจะทำทีมเสียจังหวะ อีกทีมคงชอบ,Toxic
มึงห่วยจน objective หายหมด,Toxic
รวมกลางก่อน ไม่เป็นไร,Normal
ดันล่างก่อน เดี๋ยวช่วย,Normal
เรา เปิดไฟต์ เล่นต่อได้,Normal
ขอบคุณมาก ทำเกมง่ายขึ้นสำหรับอีกฝั่ง,Toxic
สุดยอด ยืนดูจนทีมตายหมด,Toxic
ถ้าจะทำทีมเสียจังหวะ อย่ามาลงแรงค์,Toxic
เล่นห่วยกว่าบอทอีก,Toxic
เก็บบัฟก่อน ค่อยๆเล่น,Normal
ไม่ธรรมดา เสีย objective ได้ครบทุกตัว,Toxic
เมื่อกี้ยืนลึกไปนิด ยังมีเวลา,Normal
รวมกลางก่อน ตอนนี้ยังไหว,Normal
รอบนี้ใช้สกิลไวไปหน่อย ไม่ต้องซีเรียส,Normal
ถอยเข้าป้อมก่อน ยังมีโอกาส,Normal
ผลงานดี เสีย objective ได้ครบทุกตัว,Toxic
เรา ฟาร์มก่อน แผนนี้โอเค,Normal
ถ้าจะกดสกิลมั่ว เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
ฉลาดมาก ส่งแต้มสวยมาก,Toxic
ผลงานดี แจกให้เขาทั้งเกม,Toxic
ตัวซัพ ทำ objective หายหมด,Toxic
นาย กันบ้าน ใจเย็นก่อน,Normal
มึงอ่อนแบบนี้,Toxic
จังหวะนั้นดีมากจริงๆ,Normal
แก รวมกลาง ยังมีโอกาส,Normal
ถ้าไม่คิดจะช่วยทีม ไม่มีใครแบกไหว,Toxic
ถ้าเล่นได้แค่นี้ ก็ไม่แปลกที่แพ้,Toxic
รอบนี้เลนนี้กดดันยาก ลองใหม่ได้,Normal
อยู่เฉยๆยังดีกว่า แจกทุกไฟต์,Toxic
มึง รวมกลาง ค่อยๆเล่น,Normal
เทพจริง แจกให้เขาทั้งเกม,Toxic
เมื่อกี้ควรดูแมพก่อน เอาใหม่รอบหน้า,Normal
มึงอ่อนทั้งเกม,Toxic
มึงทำดีแล้วจริงๆ,Normal
กัน objectiveก่อน เดี๋ยวตามไป,Normal
เก่งมาก ช่วยอีกทีมเต็มที่,Toxic
เล่นไร้ประโยชน์ไม่ควรมาแรงค์,Toxic
มึง เซฟสกิล เดี๋ยวช่วย,Normal
รอบนี้ยังไม่ควรไล่ เอาใหม่รอบหน้า,Normal
เพื่อน กันบ้าน เดี๋ยวช่วย,Normal
เล่นแย่ทำทีมเหนื่อย,Toxic
อ่านเกมดีนะ,Normal
แครี่ ทำจังหวะทีมพังซ้ำๆ,Toxic
มึงแย่ไม่ควรมาแรงค์,Toxic
รอบนี้เลนนี้กดดันยาก ยังมีเวลา,Normal
มึงโง่ทำทีมเหนื่อย,Toxic
เกือบได้แล้ว,Normal
คนเลนบน เหมือนไม่ได้คิดก่อนเล่น,Toxic
ขอให้หยุดทำทีมลำบาก,Toxic
รอบนี้ควรดูแมพก่อน เดี๋ยวช่วยกัน,Normal
คุมเกมได้อยู่,Normal
สุดยอดจริงๆ ทีมมีห้าคนเหมือนมีสี่,Toxic
รอบนี้ของยังไม่พร้อม ทีมยังโอเค,Normal
ขอให้ช่วยน้อยกว่านี้ไม่ได้แล้ว,Toxic
รอบนี้ยืนลึกไปนิด ยังมีเวลา,Normal
เปิดวิชั่นก่อน ใจเย็นก่อน,Normal
มึงแย่จนทีมเล่นไม่ได้,Toxic
กัน objectiveก่อน ค่อยๆเล่น,Normal
อยู่เฉยๆยังช่วยทีมมากกว่า,Toxic
เรา เซฟสกิล ยังมีโอกาส,Normal
ถ้าจะกดสกิลมั่ว ทีมอื่นคงลำบากเหมือนกัน,Toxic
ผลงานดี ทำเกมง่ายขึ้นสำหรับอีกฝั่ง,Toxic
รอบนี้เลนนี้กดดันยาก เอาใหม่รอบหน้า,Normal
มึงอ่อนไม่ควรมาแรงค์,Toxic
เล่นอ่อนไม่มีพัฒนา,Toxic
คนเลนบน ไม่มีประโยชน์กับเกมนี้เลย,Toxic
เล่นตัวถ่วงไม่มีพัฒนา,Toxic
แก คุมเลน แผนนี้โอเค,Normal
เพื่อน คุมเลน ตอนนี้ยังไหว,Normal
ช่วยได้เยอะ ทำให้เราแพ้เร็วขึ้น,Toxic
แก เปิดไฟต์ รอบหน้าเอาใหม่,Normal
กัน objectiveก่อน ใจเย็นก่อน,Normal
อยู่เฉยๆยังดีกว่า ไม่ช่วย objective,Toxic
มึงแจกทั้งเกม,Toxic
กันป้อมก่อน เล่นต่อได้,Normal
ทีมเรา กันบ้าน แผนนี้โอเค,Normal
คนในทีม ทำให้คนอื่นเหนื่อยเปล่า,Toxic
ถ้าจะยืนดูเฉยๆ เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
มึงไร้ประโยชน์ทุกไฟต์,Toxic
ถ้าจะกดสกิลมั่ว ก็ไม่แปลกที่แพ้,Toxic
เล่นมั่วตั้งแต่ต้นเกม,Toxic
รวมกลางก่อน เดี๋ยวช่วย,Normal
ทีมคงชนะไปแล้วถ้าไม่มีบางคน,Toxic
ขอให้ดู replay แล้วอายตัวเองบ้าง,Toxic
เมื่อกี้ของยังไม่พร้อม แต่ไม่เป็นไร,Normal
เมื่อกี้ใช้สกิลไวไปหน่อย ยังมีเวลา,Normal
เล่นมั่วไม่ควรมาแรงค์,Toxic
เล่นเล่นไม่เป็นทำทีมเหนื่อย,Toxic
มึงช่วยทันพอดี,Normal
ถ้าแค่เดินไปตาย อีกทีมคงชอบ,Toxic
มืออาชีพมาก เดินไปให้เขาเก็บฟรี,Toxic
เมื่อกี้น่าจะรอคูลดาวน์ ยังมีเวลา,Normal
รอบนี้ยังไม่ควรไล่ ยังมีเวลา,Normal
เมื่อกี้ไฟต์นี้เสียเปรียบ ลองใหม่ได้,Normal
มึงเลือกจังหวะดี,Normal
ผลงานดี ทำให้เราแพ้เร็วขึ้น,Toxic
นี่เล่นจริงใช่ไหม ออกของมั่ว,Toxic
ถ้าไม่รู้ว่าต้องทำอะไร เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
ถ้าจะทำทีมเสียจังหวะ ไม่มีใครแบกไหว,Toxic
เทพจริง ส่งแต้มสวยมาก,Toxic
มึงเล่นไม่เป็นทำทีมเหนื่อย,Toxic
เล่นอ่อนทั้งเกม,Toxic
เมื่อกี้น่าจะรอคูลดาวน์ รอบหน้าแก้ได้,Normal
ไม่ธรรมดา แจกให้เขาทั้งเกม,Toxic
รอบนี้ยังไม่ควรไล่ รอบหน้าแก้ได้,Normal
ถอยเข้าป้อมก่อน แผนนี้โอเค,Normal
รอบนี้เข้าเร็วไปหน่อย ค่อยๆเล่น,Normal
ดีมาก แจกให้เขาทั้งเกม,Toxic
มึงแย่ตั้งแต่ต้นเกม,Toxic
ตัวป่า ทำให้ทีมเสียเปรียบตลอด,Toxic
กันป้อมก่อน ใจเย็นก่อน,Normal
ไปเลนบนก่อน ไม่เป็นไร,Normal
สุดยอด เสีย objective ได้ครบทุกตัว,Toxic
คนในทีม อ่านเกมไม่ออกเลย,Toxic
มืออาชีพมาก แจกให้เขาทั้งเกม,Toxic
เล่นแจกกว่าบอทอีก,Toxic
มึงเล่นไม่เป็นตั้งแต่ต้นเกม,Toxic
ทำแบบนี้ใครจะอยากทีมด้วย เล่นคนละเกมกับทีม,Toxic
เมื่อกี้ใช้สกิลไวไปหน่อย ยังกลับมาได้,Normal
เมื่อกี้น่าจะรอคูลดาวน์ ทีมยังโอเค,Normal
ถ้าเล่นได้แค่นี้ อย่ามาลงแรงค์,Toxic
ทีมเรา เซฟสกิล เดี๋ยวตามไป,Normal
เพื่อน เซฟสกิล แผนนี้โอเค,Normal
เปิดวิชั่นก่อน แผนนี้โอเค,Normal
คนเลนล่าง ทำเกมง่ายให้ฝั่งตรงข้าม,Toxic
ถ้าจะกดสกิลมั่ว คนอื่นเขาเหนื่อย,Toxic
ทีมแบกไม่ไหวแล้ว เข้าไฟต์มั่ว,Toxic
มึงโง่ทั้งเกม,Toxic
มึงกากตั้งแต่ต้นเกม,Toxic
เล่นแบบนี้ทีมลำบาก แจกทุกไฟต์,Toxic
ไม่ธรรมดา ทำให้เราแพ้เร็วขึ้น,Toxic
ถ้ายังเล่นแบบนี้ ก็ไม่แปลกที่แพ้,Toxic
ทีมเรา ปัก ward เดี๋ยวช่วย,Normal
กลับไปฝึกกับบอทก่อน,Toxic
ฉลาดมาก แบกฝั่งตรงข้ามจริงๆ,Toxic
กันป้อมก่อน เดี๋ยวช่วย,Normal
เมื่อกี้ยืนลึกไปนิด ไม่ต้องซีเรียส,Normal
รอบนี้จังหวะนี้ยากจริง ทีมยังโอเค,Normal
เล่นแย่ไม่มีพัฒนา,Toxic
เมื่อกี้ยืนลึกไปนิด เอาใหม่รอบหน้า,Normal
ยิงแม่นมากนะ,Normal
เล่นไร้ประโยชน์แบบนี้,Toxic
เรา รอทีม เดี๋ยวช่วย,Normal
เทพจริง ช่วยอีกทีมเต็มที่,Toxic
เล่นกากทั้งเกม,Toxic
อยู่เฉยๆยังดีกว่า ไม่ดูแมพเลย,Toxic
ถ้าจะทำทีมเสียจังหวะ เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
ช่วยได้เยอะ เสีย objective ได้ครบทุกตัว,Toxic
มึงยิงแม่นมาก,Normal
ถ้าไม่คิดจะช่วยทีม อย่ามาลงแรงค์,Toxic
รอบนี้เลนนี้กดดันยาก ยังกลับมาได้,Normal
กัน objectiveก่อน เล่นต่อได้,Normal
ดันล่างก่อน ใจเย็นก่อน,Normal
ขอบคุณมาก เสีย objective ได้ครบทุกตัว,Toxic
เมื่อกี้ยังไม่ควรไล่ ยังกลับมาได้,Normal
ถ้าไม่รู้ว่าต้องทำอะไร ไม่มีใครแบกไหว,Toxic
เก่งมาก ทำทีมพังได้ต่อเนื่อง,Toxic
นาย รวมกลาง รอบหน้าเอาใหม่,Normal
ถ้าแค่เดินไปตาย อย่ามาลงแรงค์,Toxic
ถ้ายังเล่นแบบนี้ ไปฝึกก่อนดีกว่า,Toxic
นาย เปิดไฟต์ ตอนนี้ยังไหว,Normal
เรา เซฟสกิล แผนนี้โอเค,Normal
คนเลนล่าง ทำ objective หายหมด,Toxic
เทพจริง แบกฝั่งตรงข้ามจริงๆ,Toxic
เห็นแล้วเหนื่อย แจกทุกไฟต์,Toxic
เมื่อกี้เลนนี้กดดันยาก เดี๋ยวช่วยกัน,Normal
คนเลนบน ทำให้ทีมเสียเปรียบตลอด,Toxic
เล่นเล่นไม่เป็นไม่ควรมาแรงค์,Toxic
เล่นแจกจนทีมเล่นไม่ได้,Toxic
ถ้าจะยืนดูเฉยๆ ไม่มีใครแบกไหว,Toxic
ควรไปฝึกก่อน เล่นคนละเกมกับทีม,Toxic
นาย เซฟสกิล รอบหน้าเอาใหม่,Normal
เมื่อกี้ยังไม่ควรไล่ ไม่ต้องซีเรียส,Normal
ถ้าเล่นได้แค่นี้ ไปฝึกก่อนดีกว่า,Toxic
นาย ปัก ward ยังมีโอกาส,Normal
เมื่อกี้ไฟต์นี้เสียเปรียบ ยังมีเวลา,Normal
เล่นเล่นไม่เป็นไม่มีพัฒนา,Toxic
เพื่อน รวมกลาง แผนนี้โอเค,Normal
มึงไร้ประโยชน์ไม่ควรมาแรงค์,Toxic
ทีมเรา คุมเลน ค่อยๆเล่น,Normal
เล่นห่วยไม่มีพัฒนา,Toxic
เล่นห่วยไม่ควรมาแรงค์,Toxic
เพื่อน เปิดไฟต์ ยังมีโอกาส,Normal
เอามังกรก่อน เดี๋ยวตามไป,Normal
นาย ฟาร์มก่อน ยังมีโอกาส,Normal
รอบนี้เข้าเร็วไปหน่อย ลองใหม่ได้,Normal
เล่นห่วยทุกไฟต์,Toxic
มึงเดินเกมดี,Normal
เมื่อกี้ควรดูแมพก่อน แต่ไม่เป็นไร,Normal
เล่นโง่กว่าบอทอีก,Toxic
รอบนี้ไฟต์นี้เสียเปรียบ เอาใหม่รอบหน้า,Normal
มึงมั่วจนทีมเล่นไม่ได้,Toxic
ควรไปฝึกก่อน เข้าไฟต์มั่ว,Toxic
คนในทีม เหมือนไม่ได้คิดก่อนเล่น,Toxic
ดันล่างก่อน แผนนี้โอเค,Normal
ทีมเรา รวมกลาง เดี๋ยวตามไป,Normal
เมื่อกี้ไฟต์นี้เสียเปรียบ ค่อยๆเล่น,Normal
ปัญญาอ่อนปะ,Toxic
ถ้าไม่ดูแมพเลย อย่าฝืนเลย,Toxic
รอบนี้ควรดูแมพก่อน ยังกลับมาได้,Normal
รอบนี้ของยังไม่พร้อม เดี๋ยวช่วยกัน,Normal
เอามังกรก่อน ใจเย็นก่อน,Normal
ตัวป่า ทำ objective หายหมด,Toxic
เมื่อกี้ใช้สกิลไวไปหน่อย เอาใหม่รอบหน้า,Normal
แครี่ เล่นแล้วทีมต้องแบกหนักขึ้น,Toxic
เล่นกากจนทีมเล่นไม่ได้,Toxic
ถ้าจะกดสกิลมั่ว ไม่มีใครแบกไหว,Toxic
ดันล่างก่อน ยังมีโอกาส,Normal
คนเปิดไฟต์ ทำ objective หายหมด,Toxic
ถ้าจะทำทีมเสียจังหวะ ควรหยุดก่อน,Toxic
ไม่พร้อมก็อย่ากดมา ทำทีมเสียจังหวะ,Toxic
เก่งมาก ยืนดูจนทีมตายหมด,Toxic
เล่นไร้ประโยชน์ไม่มีพัฒนา,Toxic
เก่งมากเลยนะ แจกทุกไฟต์,Toxic
เดินเกมดีนะ,Normal
ทีมเรา เปิดไฟต์ ยังมีโอกาส,Normal
เมื่อกี้จังหวะนี้ยากจริง แต่ไม่เป็นไร,Normal
มึงโง่แบบนี้,Toxic
บางคน ทำให้ทีมเสียเปรียบตลอด,Toxic
รอบนี้ยังไม่ควรไล่ ไม่ต้องซีเรียส,Normal
ถ้าจะเล่นคนเดียว เกมนี้จบตั้งแต่เห็นแล้ว,Toxic
เมื่อกี้ไฟต์นี้เสียเปรียบ แต่ไม่เป็นไร,Normal
ยิงแม่นมากจริงๆ,Normal
ถ้ายังเล่นแบบนี้ คนอื่นเขาเหนื่อย,Toxic
มึงกากทำทีมเหนื่อย,Toxic
ถ้าจะยืนดูเฉยๆ อย่ามาลงแรงค์,Toxic
นาย เก็บ objective ค่อยๆเล่น,Normal
ทีมเรา เก็บ objective ค่อยๆเล่น,Normal
ถ้าจะยืนดูเฉยๆ อย่าฝืนเลย,Toxic
มึงโง่ตั้งแต่ต้นเกม,Toxic
เล่นตำแหน่งนี้ไม่เป็นเลย,Toxic
นี่เล่นจริงใช่ไหม ทำทีมเสียจังหวะ,Toxic
คนเลนบน ทำให้คนอื่นเหนื่อยเปล่า,Toxic
มึงกากว่ะ,Toxic
เพื่อน ฟาร์มก่อน ยังมีโอกาส,Normal
มึงห่วยทุกไฟต์,Toxic
เล่นแย่จนทีมเล่นไม่ได้,Toxic
มึง กันบ้าน ยังมีโอกาส,Normal
รอบนี้เข้าเร็วไปหน่อย เดี๋ยวช่วยกัน,Normal
เซฟได้สวย,Normal
คนในทีม ทำจังหวะทีมพังซ้ำๆ,Toxic
ขอให้เลิกแจกก่อน,Toxic
